circuit,year,dissimilarity_index,denial_rate
1,2012,0.5500902055377467,
1,2017,0.5347323216270187,
1,2022,0.5591802228616055,0.21076
10,2012,0.4734886324139889,
10,2017,0.4526554388745111,
10,2022,0.4822757519927881,0.2077166666666666
11,2012,0.503384068779362,
11,2017,0.4889781785596854,
11,2022,0.5042802217555697,0.2711333333333333
2,2012,0.6772153226569297,
2,2017,0.6609275546894406,
2,2022,0.649639083462793,0.2127
3,2012,0.577550852676353,
3,2017,0.5631019528651962,
3,2022,0.571684927965015,0.235
4,2012,0.428035864832145,
4,2017,0.4192191019754923,
4,2022,0.4303972907497513,0.23864
5,2012,0.4966429008066097,
5,2017,0.4856454815609324,
5,2022,0.4986194077165654,0.289
6,2012,0.553015841993736,
6,2017,0.5371249726499479,
6,2022,0.5454197595060779,0.225575
7,2012,0.5894722354094066,
7,2017,0.5774574850485458,
7,2022,0.577123715169431,0.1911666666666666
8,2012,0.4905991586722285,
8,2017,0.4711297991243921,
8,2022,0.4921138386985,0.1653
9,2012,0.5225908947011143,
9,2017,0.5092095711511796,
9,2022,0.5257105033055633,0.20485
DC,2012,0.7298,
DC,2017,0.6869,
DC,2022,0.6619,0.2193
